A,Assigned to,Article,Article No.,Item Group,Base Unit,Store Unit,Loss,Last Purchase Price,Sales Price,Ignore in Inventory,Article Code,Weight Factor,Barcode,Producer,Country of Origin,Article Folder/URL 1,Picture,Article Folder/URL 2,Visibility,Changed by,At
,Profit Contribution,De Cecco Fettuccini,110008,Pasta,Kilogram,Kilogram,,2.743,0,0,,1,,,,,,,0,Shkakhwa,12/08/2021
,Profit Contribution,DE Cecco- Penne Rigate #41,110006,Pasta,Kilogram,Kilogram,,2.095,0,0,,1,,,,,,,0,Shkakhwa,21/02/2020
,Profit Contribution,De Cecco- Spaghetti #12,110007,Pasta,Kilogram,Kilogram,,2.095,0,0,,1,,,,,,,0,Shkakhwa,21/02/2020
,Expenses,Deep Cooper Pot with handle,15041,Store Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,31/12/2017
,Expenses,Delivery Menus (Recieption Area),6058,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Dell Monitor  (Recieption Area),6022,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Dell Monitor for Menu (Recieption Area),6023,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Profit Contribution,dhill ,107078,Fresh Vegetables,Kilogram,Kilogram,20.00%,0.7,0,0,,1,,,,,,,0,Shkakhwa,10/09/2017
,Profit Contribution,digestive biscuit,134002,Dough,Kilogram,Kilogram,,1.848,0,0,,1,,,,,,,0,Shkakhwa,24/01/2021
,Expenses,Dis Plastic Gloves,120047,Packaging,Each,Each,,0.003,0,0,,1,,,,,,,0,Shkakhwa,28/04/2016
,Expenses,dishwasher (Dishwasher),5249,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,15/12/2017
,Expenses,Dishwasher Liquid 30 LTR,4011,Chicemicals,Each,Each,,5.5,0,0,,1,,,,,,,0,Shkakhwa,08/09/2018
,Expenses,dishwasher table (Dishwasher),5252,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,15/12/2017
,Expenses,Disp Plastic Apron,120022,Packaging,Each,Each,,0.011,0,0,,1,,,,,,,0,Shkakhwa,28/04/2016
,Expenses,Display Box  (Wall Display),6092,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Display Chiller ( Bar Area ),6174,Dining Assets,Each,Each,,483.162,0,0,,1,,,,,,,0,Shkakhwa,21/04/2018
,Expenses,Display stand  menu (Recieption Area),6061,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,DOME LID FOR PET 14OZ&12OZ-1000PCS,5000016,Packaging,Each,Each,,0.009,0,0,,1,,,,,,,0,Shkakhwa,31/08/2017
,Profit Contribution,Dont Use**Dry Yeast*** Dont Use,118014,Baking Items,Kilogram,Kilogram,,1.667,0,1,,1,,,,,,,0,Shkakhwa,26/12/2016
,Expenses,dough machine big ( prep ),5006,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,11/12/2017
,Expenses,dough machine Kenwood ( prep ),5005,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,11/12/2017
